"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id"
"2019-05-15","International","Istanbul","2","0","business","61017","10150"
"2019-03-01","Russia","Nalchik","2","1","leasure","5054","14393"
"2019-04-13","International","Prague","14","1","leasure","60440","13636"
"2019-03-19","Western Europe","Paris","5","0","leasure","206950","19278"
"2019-03-02","Southern Europe","Adeje","12","1","leasure","220640","16448"
"2019-03-07","International","Tokyo","3","1","leasure","26681","25252"
"2019-02-17","Russia","Saint Petersburg","4","1","business","13607","8435"
"2019-03-13","Western Europe","Wuerzburg","2","1","business","15022","16601"
"2019-02-21","International","Rio de Janeiro","1","1","business","10654","32561"
"2019-02-20","CIS","Tashkent","1","1","business","7812","15414"
"2019-02-17","Russia","Rostov-on-Don","2","1","business","41187","7516"
"2019-02-20","CIS","Tashkent","2","1","business","15623","15414"
"2019-04-28","International","Tokyo","4","0","business","26896","11597"
"2019-02-18","Russia","Novokuznetsk","2","1","business","12058","6268"
"2019-02-18","International","Istanbul","2","1","business","22581","30319"
"2019-02-18","Russia","Novokuznetsk","2","1","business","12058","6268"
"2019-02-18","Russia","Gorki","1","0","business","2370","6144"
"2019-04-01","Southern Europe","Larnaca","4","1","leasure","27136","19043"
"2019-02-18","CIS","Shymkent","2","1","business","4766","10542"
"2019-03-02","International","Singapore","3","0","leasure","60581","13946"
"2019-02-15","Russia","Moscow","1","1","business","33210","16021"
"2019-04-09","Southern Europe","Catania","3","1","business","9936","28885"
"2019-03-05","Western Europe","Paris","6","0","leasure","28679","6189"
"2019-03-15","Arabia","Dubai","3","1","leasure","83647","21645"
"2019-03-08","Western Europe","Amsterdam","3","0","leasure","53709","25862"
"2019-03-10","International","Hong Kong","1","0","business","9701","16873"
"2019-04-14","Western Europe","Paris","4","1","business","55988","9614"
"2019-02-16","Russia","Kazan","2","1","leasure","8102","19819"
"2019-02-18","Russia","Moscow","1","1","business","4799","30954"
"2019-03-06","Western Europe","Cannes","3","1","business","13413","18221"
"2019-03-07","Russia","Krasnaya Polyana","4","1","leasure","13769","29826"
"2019-02-18","Russia","Belgorod","2","1","business","8488","14684"
"2019-03-11","Western Europe","London","2","1","business","86878","13489"
"2019-02-25","International","Sofia","1","1","business","5304","33224"
"2019-03-23","International","Karlovy Vary","12","1","leasure","126756","16760"
"2019-03-10","International","Miami","7","0","leasure","87848","19396"
"2019-03-14","Southern Europe","Barcelona","4","1","leasure","63031","17038"
"2019-04-05","Western Europe","Hamburg","1","1","business","14297","15755"
"2019-02-18","Russia","Ivanovo","2","1","business","9675","10579"
"2019-02-19","Russia","Moscow","3","1","business","6805","15089"
"2019-02-18","Southern Europe","Zagreb","1","1","business","6214","22349"
"2019-02-17","Russia","Moscow","3","1","business","40172","6203"
"2019-03-10","International","Guangzhou","3","1","business","14724","14262"
"2019-03-29","International","Tokyo","7","1","leasure","123275","15104"
"2019-02-20","Western Europe","Winnersh","2","1","leasure","59780","22697"
"2019-02-18","Russia","Moscow","1","1","business","3366","23326"
"2019-04-08","Southern Europe","Lisbon","3","0","business","10829","28885"
"2019-02-15","International","Helsinki","1","1","business","6270","28396"
"2019-04-20","International","Incheon","1","0","leasure","37113","15755"
"2019-02-18","Russia","Moscow","3","1","business","10491","687"
"2019-07-20","Southern Europe","Corfu","4","1","business","15070","19043"
"2019-07-22","International","Sighisoara","1","1","business","6830","22103"
"2019-08-14","Southern Europe","Corfu","7","1","leasure","79115","19043"
"2019-07-23","International","Hofn","1","1","business","46874","26494"
"2019-07-14","Western Europe","Zurich","3","1","leasure","75115","30319"
"2019-04-09","International","Prague","4","0","leasure","203359","24149"
"2019-04-09","International","Prague","4","1","leasure","441782","24149"
"2019-03-13","International","Prague","2","1","business","5543","6146"
"2019-02-16","International","Guarapari","2","1","leasure","10797","18889"
"2019-03-14","Western Europe","Vienna","4","0","leasure","17686","18117"
"2019-02-18","Russia","Omsk","2","1","business","4684","16741"
"2019-02-21","International","Prague","3","1","leasure","11658","5942"
"2019-05-11","Southern Europe","Alcudia","7","0","leasure","44010","19079"
"2019-03-15","Southern Europe","Malaga","3","1","leasure","20405","20654"
"2019-02-23","International","Hong Kong","1","1","leasure","15673","31339"
"2019-02-22","CIS","Tashkent","1","1","business","5553","20640"
"2019-03-25","Arabia","Dubai","2","0","leasure","22349","21769"
"2019-03-22","Southern Europe","Rome","3","1","leasure","70526","13108"
"2019-04-27","International","Prague","2","1","leasure","16349","18718"
"2019-02-21","Russia","Krasnoyarsk","2","1","business","10794","15414"
"2019-04-13","International","Guangzhou","4","0","business","54613","22905"
"2019-02-16","CIS","Bishkek","3","1","business","15490","14806"
"2019-03-03","International","Guangzhou","3","1","business","57981","30120"
"2019-08-14","Southern Europe","Corfu","7","1","leasure","101266","19043"
"2019-03-04","Arabia","Cairo","4","1","business","26179","30924"
"2019-02-14","Russia","Tyumen","1","0","business","3818","25145"
"2019-02-19","Russia","Astrakhan","1","1","business","3967","31385"
"2019-03-10","International","Houston","5","1","business","80009","36102"
"2019-02-16","Southern Europe","Barcelona","3","0","business","44723","18551"
"2019-02-17","Russia","Tyumen","1","1","business","3177","7406"
"2019-04-01","International","Phuket","10","1","leasure","47701","13784"
"2019-03-20","Arabia","Abu Dhabi","2","1","business","11905","23020"
"2019-02-25","Russia","Krasnoyarsk","2","1","business","11789","14684"
"2019-03-11","International","Rio de Janeiro","1","1","business","5043","19560"
"2019-02-18","Russia","Tyumen","3","1","business","13400","21468"
"2019-04-24","Southern Europe","Milan","4","1","business","31275","19087"
"2019-02-20","CIS","Minsk","1","1","business","3589","29826"
"2019-02-15","International","New Delhi","2","0","leasure","4401","23459"
"2019-02-19","Western Europe","Munich","1","1","business","10879","6134"
"2019-02-18","Western Europe","Dusseldorf","3","1","business","31346","22888"
"2019-02-20","Arabia","Dubai","5","1","business","39867","20402"
"2019-04-06","Arabia","Cairo","5","1","business","52336","34269"
"2019-03-27","International","Istanbul","3","1","business","24472","23459"
"2019-03-14","Russia","Saint Petersburg","3","1","leasure","37479","24161"
"2019-03-26","Southern Europe","Verona","1","1","business","8526","5933"
"2019-02-19","Western Europe","Paris","2","1","leasure","35600","33932"
"2019-02-17","Russia","Aksay","5","0","business","14358","14684"
"2019-02-20","Russia","Nizhniy Novgorod","2","1","business","8454","14684"
"2019-02-14","Russia","Sochi","1","0","business","1236","14684"
"2019-03-17","International","San Francisco","5","0","business","382907","32253"
"2019-03-22","Western Europe","London","6","1","leasure","36831","6180"
"2019-04-20","Western Europe","Paris","7","0","leasure","49151","34317"
"2019-02-15","International","Beijing","2","1","leasure","11653","17027"
"2019-02-18","International","Hong Kong","3","1","business","22518","16873"
"2019-02-21","Russia","Moscow","1","0","business","4108","8188"
"2019-03-01","Western Europe","Nice","13","1","leasure","84422","17368"
"2019-04-21","International","Guangzhou","3","0","business","53318","14684"
"2019-02-17","Russia","Lobnya","3","1","business","5835","5963"
"2019-02-20","Russia","Moscow","1","0","business","2871","14684"
"2019-02-20","Russia","Timashevsk","2","0","business","4663","14684"
"2019-02-18","Russia","Moscow","2","1","business","9528","6579"
"2019-03-18","Russia","Voronezh","1","1","business","3870","14684"
"2019-02-17","Russia","Murmansk","12","1","leasure","24679","19826"
"2019-02-20","International","Singapore","3","0","leasure","27114","20616"
"2019-03-06","International","Thiruvananthapuram","14","1","leasure","48303","6528"
"2019-02-21","Southern Europe","Rome","4","1","leasure","18028","6961"
"2019-02-17","Russia","Rostov-on-Don","2","1","business","19235","7516"
"2019-02-15","Russia","Moscow","1","1","business","10308","6715"
"2019-03-19","Russia","Moscow","3","1","business","7685","16697"
"2019-02-18","Russia","Astrakhan","1","1","business","3191","7516"
"2019-03-10","Western Europe","Bonn","7","1","leasure","110837","29117"
"2019-02-18","Russia","Volgograd","1","1","business","3646","14684"
"2019-03-28","Russia","Ufa","1","0","business","3171","7516"
"2019-02-24","CIS","Almaty","3","1","leasure","20067","31868"
"2019-02-25","Russia","Murmansk","2","1","business","8896","21468"
