"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-04-16","Russia","Tikhvin","1","0","business","2704","15692","Russia"
"2019-04-26","Western Europe","Liverpool","1","1","business","61161","24763","Western Europe"
"2019-05-08","Western Europe","Liverpool","1","1","business","8069","24763","Western Europe"
"2019-05-13","Russia","Labytnangi","4","0","business","16869","5782","Russia"
"2019-04-23","Russia","Khabarovsk","3","1","business","12987","14684","Russia"
"2019-06-15","Western Europe","Nice","3","1","business","121014","33710","Visegrad Group"
"2019-07-25","Western Europe","Paris","5","1","business","19218","20815","Russia"
"2019-04-18","Southern Europe","Belgrade","1","0","business","5717","31724","International"
"2019-05-06","Western Europe","Reutlingen","3","1","business","40346","25777","Visegrad Group"
"2019-05-21","International","Beijing","3","1","business","46971","11266","Russia"
"2019-06-15","Southern Europe","Madrid","7","0","leasure","110039","30961","Russia"
"2019-05-24","International","Sao Paulo","4","1","business","21383","34200","Russia"
"2019-04-17","Russia","Moscow","1","1","business","5982","21385","Russia"
"2019-04-18","Russia","Nizhniy Novgorod","1","1","business","3703","14684","Russia"
"2019-04-19","Russia","Moscow","2","0","leasure","19046","19344","CIS"
"2019-04-18","Arabia","Mecca","2","0","leasure","16034","21768","Arabia"
"2019-04-29","International","Bali","7","1","leasure","163802","12857","Russia"
"2019-05-31","Southern Europe","Reggello","3","1","leasure","18901","17100","Balkans"
"2019-04-17","Russia","Severodvinsk ","13","1","leasure","30694","5782","Russia"
"2019-04-22","Russia","Kaliningrad","2","1","business","14331","30375","Russia"
"2019-05-09","Southern Europe","Rome","3","1","leasure","12712","34841","International"
"2019-04-23","Russia","Yekaterinburg","1","1","business","14425","16624","Russia"
"2019-05-10","Southern Europe","Rome","3","1","leasure","91070","20843","International"
"2019-05-16","Western Europe","Cologne","2","1","business","24493","26582","Russia"
"2019-04-21","Russia","Nizhniy Novgorod","1","1","business","2683","35498","Russia"
"2019-04-30","International","Johanneshov","1","1","business","10288","22992","Russia"
"2019-04-17","International","Istanbul","2","1","business","14196","28476","CIS"
"2019-09-23","International","Playacar","3","1","leasure","126796","32990","International"
"2019-09-26","Southern Europe","Florence","4","1","leasure","54187","33609","Western Europe"
"2019-04-15","Russia","Moscow","1","1","business","5991","10552","Russia"
"2019-04-15","Russia","Saint Petersburg","1","0","business","2199","17377","Russia"
"2019-04-15","Russia","Moscow","1","1","business","6493","10584","Russia"
"2019-04-27","Southern Europe","Madrid","4","1","business","23607","20828","International"
"2019-04-26","International","Kalmar","1","1","business","7298","20853","Baltic States"
"2019-05-31","CIS","Kyiv","2","1","leasure","7515","36389","International"
"2019-04-22","Russia","Lis'va","2","1","business","7834","6868","Russia"
"2019-04-16","Russia","Moscow","2","1","business","21984","26005","Russia"
"2019-07-29","International","Montreal","3","0","business","50230","15248","Arabia"
"2019-04-23","Russia","Moscow","3","1","business","8358","11322","Russia"
"2019-05-09","Southern Europe","Valencia","6","0","leasure","37384","24287","CIS"
"2019-05-10","Southern Europe","Madrid","4","1","business","61278","29885","CIS"
"2019-05-03","Western Europe","Paris","7","1","leasure","103308","6372","Russia"
"2019-05-26","Southern Europe","Alcudia","17","1","leasure","126419","12494","Russia"
"2019-04-21","International","Singapore","16","0","leasure","179586","16217","CIS"
"2019-04-24","Russia","Yekaterinburg","2","1","business","7449","15316","Russia"
"2019-04-19","Russia","Krasnoyarsk","2","1","leasure","12204","25940","International"
"2019-04-17","Russia","Moscow","1","0","business","3085","21483","Russia"
"2019-07-31","Russia","Saint Petersburg","4","1","business","35392","27087","Russia"
"2019-04-16","Arabia","Riyadh","1","1","business","8289","10130","Russia"
"2019-04-17","Russia","Ufa","2","1","business","4287","7516","Russia"
"2019-05-06","Western Europe","Lausanne","2","1","business","38425","23055","Balkans"
"2019-04-17","Russia","Irkutsk","3","1","business","8794","28037","Russia"
"2019-04-22","Russia","Perm","1","1","business","4951","32750","Russia"
"2019-04-23","Russia","Saint Petersburg","1","1","business","2758","7516","Russia"
"2019-05-03","Southern Europe","Barcelona","4","0","business","32257","35521","Russia"
"2019-04-18","Russia","Samara","1","1","business","5462","7516","Russia"
"2019-04-16","International","Tuxtla Chico","2","1","business","6552","23414","International"
"2019-05-10","Russia","Moscow","2","1","leasure","16286","12554","Russia"
"2019-05-21","International","Riga","1","1","business","4612","22905","Russia"
"2019-05-20","Russia","Saint Petersburg","2","0","business","8746","7516","Russia"
"2019-04-16","Russia","Saint Petersburg","1","1","business","2097","7516","Russia"
"2019-05-08","Western Europe","Paris","5","1","business","138721","25369","CIS"
"2019-04-17","Russia","Samara","2","1","business","7914","22888","Russia"
"2019-04-24","International","Tokyo","1","1","business","10674","22905","Russia"
"2019-05-05","International","Riga","3","1","leasure","36570","6348","Russia"
"2019-04-22","Russia","Ivanovo","2","0","business","3474","30633","Russia"
"2019-04-16","Russia","Moscow","1","1","business","2737","6146","Russia"
"2019-05-06","Western Europe","Paris","4","0","business","12452","6442","Russia"
"2019-05-01","International","Budapest","10","1","leasure","141939","20329","CIS"
"2019-04-16","Russia","Moscow","1","1","business","3097","7588","Russia"
"2019-05-27","Russia","Yekaterinburg","3","1","business","8868","14273","Russia"
"2019-04-30","CIS","Goris","1","1","leasure","6561","22633","Russia"
"2019-06-23","Southern Europe","Barcelona","7","1","leasure","53392","6882","Russia"
"2019-04-16","Russia","Tomsk","2","0","business","3680","34083","Russia"
"2019-04-17","Russia","Novosibirsk","2","0","business","3041","34083","Russia"
"2019-04-17","Western Europe","Utrecht","2","0","business","16551","14806","Russia"
"2019-06-23","Western Europe","London","3","1","business","46630","25154","Balkans"
"2019-04-21","Russia","Novosibirsk","5","1","business","14562","33071","Russia"
"2019-04-17","Russia","Yuzhno-Sakhalinsk","1","0","business","2803","7029","Russia"
"2019-04-18","Russia","Novoshakhtinsk","1","0","business","4100","14546","Russia"
"2019-04-17","Russia","Saint Petersburg","1","1","business","11628","7588","Russia"
"2019-06-12","International","Prague","2","1","leasure","43659","6368","Russia"
"2019-09-09","International","Istanbul","4","1","business","11538","13541","Russia"
"2019-05-18","International","Prague","3","1","business","100530","26172","Visegrad Group"
"2019-05-07","Russia","Moscow","5","1","leasure","23843","6268","Russia"
"2019-04-23","Russia","Saint Petersburg","3","1","business","19811","16601","Russia"
"2019-06-07","International","Riga","1","1","business","4059","20538","Baltic States"
"2019-04-18","CIS","Pavlodar","1","1","business","2080","7877","CIS"
